あぶない;dangerous
あかい;red, crimson, scarlet​
あかるい;bright, light
あまい;sweet, sweet-tasting, sugary, naive, indulgent
あおい;blue, azure
あたらしい;new, novel, fresh, recent, latest
あたたかい;warm
あつい;thick
あつい;hot, sultry
あつい;hot
べんり;convenient, handy, useful
ちいさい;small, little, tiny
ちかい;near, close
だいじょうぶ;OK, okay, alright, problem free
だいすき;love, like, like very much
ふるい;old (not used for people)
ふとい;fat, thick
げんき;lively, full of spirit, energetic, healthy
はやい;fast, early
はやい;fast, quick, hasty, brisk
へた;unskillful, poor, awkward​
ひくい;short,low
ひま;free time
ひろい;spacious, vast, wide
ほんとう;truth, reality, actuality, fact
ほしい;want
ほそい;thin, slender
いろいろ;various
いそがしい;busy
いたい;painful, sore​
いや;unpleasant
じょうぶ;strong, durable
じょうず;skillful, skilled, proficient, good (at)
からい;spicy
かるい;light
かわいい;cute
けっこう;splendid, enough
きいろい;yellow
きらい;hate
きれい;pretty, lovely, beautiful
きたない;dirty
くらい;dark, gloomy, murky
くろい;black
まるい;round,circular
まっすぐ;straight ahead,direct
まずい;unpleasant
みじかい;short
むずかしい;difficult
ながい;long (distance)​, long (time), lengthy.
にぎやか;bustling,busy
ぬるい;luke warm
おいしい;delicious
おもい;heavy
おもしろい;interesting
おおい;many, numerous, a lot, large quantity, frequent
おおきい;big, large, great, important
おそい;slow, time-consuming, late
りっぱ;splendid
さむい;cold
せまい;narrow
しろい;white
しずか;quiet
すき;like
すくない;few, a little, scarce, insufficient, seldom
すずしい;refreshing, cool
たぶん;perhaps, probably
たいへん;very, greatly, terribly, serious, difficult
たいせつ;important, necessary, indispensable, beloved
たかい;high, tall, expensive, above average
たくさん;many
たのしい;enjoyable, fun
とおい;far
つまらない;boring
つめたい;cold to the touch
つよい;powerful
うるさい;noisy, annoying
うすい;thin, weak
わかい;young
わるい;bad, poor, undesirable
やさしい;easy, simple
やすい;cheap, inexpensive
よい/いい;good
よわい;weak
ゆうめい;famous
