危ない;dangerous
赤い;red, crimson, scarlet​
明るい;bright, light
甘い;sweet, sweet-tasting, sugary, naive, indulgent
青い;blue, azure
新しい;new, novel, fresh, recent, latest
暖かい;warm
厚い;thick
暑い;hot, sultry
熱い;hot
便利;convenient, handy, useful
小さい;small, little, tiny
近い;near, close
大丈夫;OK, okay, alright, problem free
大好き;love, like, like very much
古い;old (not used for people)
太い;fat, thick
元気;lively, full of spirit, energetic, healthy
早い;fast, early
速い;fast, quick, hasty, brisk
下手;unskillful, poor, awkward​
低い;short,low
暇;free time
広い;spacious, vast, wide
本当;truth, reality, actuality, fact
欲しい;want
細い;thin, slender
色々;various
忙しい;busy
痛い;painful, sore​
嫌;unpleasant
丈夫;strong, durable
上手;skillful, skilled, proficient, good (at)
辛い;spicy
軽い;light
可愛い;cute
結構;splendid, enough
黄色い;yellow
嫌い;hate
綺麗;pretty, lovely, beautiful
汚い;dirty
暗い;dark, gloomy, murky
黒い;black
丸い;round,circular
真っ直ぐ;straight ahead,direct
不味い;unpleasant
短い;short
難しい;difficult
長い;long (distance)​, long (time), lengthy.
賑やか;bustling,busy
温い;luke warm
美味しい;delicious
重い;heavy
面白い;interesting
多い;many, numerous, a lot, large quantity, frequent
大きい;big, large, great, important
遅い;slow, time-consuming, late
立派;splendid
寒い;cold
狭い;narrow
白い;white
静か;quiet
好き;like
少ない;few, a little, scarce, insufficient, seldom
涼しい;refreshing, cool
多分;perhaps, probably
大変;very, greatly, terribly, serious, difficult
大切;important, necessary, indispensable, beloved
高い;high, tall, expensive, above average
沢山;many
楽しい;enjoyable, fun
遠い;far
詰まらない;boring
冷たい;cold to the touch
強い;powerful
煩い;noisy, annoying
薄い;thin, weak
若い;young
悪い;bad, poor, undesirable
易しい;easy, simple
安い;cheap, inexpensive
良い;good
弱い;weak
有名;famous
